u,v,key,osmid,highway,name,oneway,ref,reversed,length,geometry,lanes,maxspeed,bridge,tunnel,width,access,traffic
31253600,7092267898,0,23705307,primary,新大橋通り,True,50,False,41.9877984243769,"LINESTRING (139.7635869 35.663609, 139.7634711 35.6636286, 139.7634475 35.6636313, 139.7634043 35.6636364, 139.7633442 35.6636328, 139.763283 35.6636191, 139.7632297 35.6635956, 139.7631503 35.6635538)",,,,,,,1
31253600,31253943,0,25824161,primary,新大橋通り,True,50,False,28.2819104318497,"LINESTRING (139.7635869 35.663609, 139.7634651 35.6636611, 139.7633829 35.6636878, 139.7632998 35.6637084)",,,,,,,1
31253776,9510994556,0,879780891,primary,海岸通り,True,316,False,28.0361361494713,"LINESTRING (139.7634712 35.6646214, 139.7634914 35.6643698)",4,50,,,,,1
31253943,7092267898,0,894991906,primary,海岸通り,True,316,False,21.8616825630412,"LINESTRING (139.7632998 35.6637084, 139.7631503 35.6635538)",4,50,,,,,1
31253982,31253943,0,894991907,primary,海岸通り,True,316,False,15.8905002091799,"LINESTRING (139.7633924 35.6638299, 139.7632998 35.6637084)",4,50,,,,,1
31254273,1130958910,0,97685642,unclassified,木挽町通り,True,,False,109.753058129492,"LINESTRING (139.7633251 35.6654293, 139.7634086 35.665467, 139.7641603 35.6660689, 139.7642079 35.6661036)",,,,,,,1
31254273,7094898112,0,879780891,primary,海岸通り,True,316,False,43.7882854639792,"LINESTRING (139.7633251 35.6654293, 139.763374 35.665282, 139.7633943 35.6651979, 139.7634211 35.6650439)",4,50,,,,,1
31254274,31254273,0,879780891,primary,海岸通り,True,316,False,34.2957615391549,"LINESTRING (139.7631955 35.6657192, 139.7633251 35.6654293)",4,50,,,,,1
31254275,31254274,0,879780891,primary,海岸通り,True,316,False,30.8966107267743,"LINESTRING (139.7630541 35.6659722, 139.7631955 35.6657192)",4,50,,,,,1
31254275,6773618245,0,207104343,residential,,True,,False,34.8740991204052,"LINESTRING (139.7630541 35.6659722, 139.7631285 35.6660307, 139.7633255 35.6661952)",1,,,,,,1
31254276,2172319420,0,879780891,primary,海岸通り,True,316,False,51.2324217275745,"LINESTRING (139.7628015 35.6664991, 139.7630093 35.6660704)",4,50,,,,,1
31254284,31254276,0,271720648,primary,海岸通り,True,316,False,19.0708663990843,"LINESTRING (139.7626529 35.6666197, 139.7627415 35.6665599, 139.7628015 35.6664991)",4,50,,,,,1
31254284,31254298,0,"[271720704, 4848928]",primary,昭和通り,True,316,False,134.374195770161,"LINESTRING (139.7626529 35.6666197, 139.7627956 35.6666409, 139.7629552 35.6666733, 139.7630994 35.6667262, 139.7632495 35.6668046, 139.7637217 35.6670617, 139.7639483 35.6671851)",4,,,,,,1
31254284,1130958305,0,667962677,tertiary,御門通り,True,,False,36.6265949911436,"LINESTRING (139.7626529 35.6666197, 139.7626026 35.6667277, 139.7625203 35.6669309)",,,,,,,1
31254298,835996344,0,4848928,primary,昭和通り,True,316,False,59.1376935335238,"LINESTRING (139.7639483 35.6671851, 139.7640804 35.6672718, 139.7644321 35.6675429)",,,,,,,1
31254303,835996358,0,271720622,primary,昭和通り,True,316,False,70.4265383197353,"LINESTRING (139.7641205 35.6670744, 139.7634626 35.6667346)",,,,,,,1
31254305,31254306,0,4848928,primary,昭和通り,True,316,False,12.5406973111121,"LINESTRING (139.7669344 35.6696354, 139.7670179 35.6697255)",,,,,,,1
31254305,1130958441,0,539237086,primary,晴海通り,True,304,False,42.5203481614275,"LINESTRING (139.7669344 35.6696354, 139.766825 35.6697279, 139.7666067 35.6699099)",3,,,,,,1
31254306,31254310,0,539237084,primary,晴海通り,True,304,False,22.8293737759635,"LINESTRING (139.7670179 35.6697255, 139.7671822 35.6695695)",3,,,,,,1
31254306,31254307,0,4848928,primary,昭和通り,True,316,False,131.484574900566,"LINESTRING (139.7670179 35.6697255, 139.7671425 35.6698524, 139.7677754 35.6705555, 139.7678823 35.6706767)",,,,,,,1
31254307,31254311,0,342481201,unclassified,松屋通り,True,,False,23.0794058559381,"LINESTRING (139.7678823 35.6706767, 139.7680771 35.6705424)",,,,,,,1
31254307,598438985,0,4848928,primary,昭和通り,True,316,False,132.911152383494,"LINESTRING (139.7678823 35.6706767, 139.7679755 35.6707786, 139.7686698 35.6715376, 139.7687599 35.6716361)",,,,,,,1
31254309,31254305,0,539237086,primary,晴海通り,True,304,False,23.1684735611885,"LINESTRING (139.7671133 35.6694861, 139.7669344 35.6696354)",3,,,,,,1
31254309,1070638565,0,580847357,primary,昭和通り,True,316,False,122.329092379385,"LINESTRING (139.7671133 35.6694861, 139.7669926 35.6693599, 139.7662851 35.6687819, 139.7661765 35.6686931)",,,,,,,1
31254310,31254309,0,580847357,primary,昭和通り,True,316,False,11.1686817869192,"LINESTRING (139.7671822 35.6695695, 139.7671133 35.6694861)",,,,,,,1
31254310,1130958517,0,269150840,primary,晴海通り,True,304,False,92.2814798186934,"LINESTRING (139.7671822 35.6695695, 139.7673111 35.6694571, 139.7678896 35.6689708)",3,,,,,,1
31254311,1130958918,0,69963039,primary,昭和通り,True,316,False,30.9074961850952,"LINESTRING (139.7680771 35.6705424, 139.7679798 35.6704357, 139.7678722 35.6703198)",,,,,,,1
31254311,951247032,0,342481201,unclassified,松屋通り,True,,False,38.9940016455994,"LINESTRING (139.7680771 35.6705424, 139.7681649 35.6704768, 139.7683947 35.6703049)",,,,,,,1
31254313,1130958546,0,43988828,unclassified,,True,,False,105.150031426152,"LINESTRING (139.7623229 35.6671899, 139.7623686 35.6672252, 139.7631315 35.6678019, 139.7631742 35.6678348)",,,,,,,1
31254313,1130958407,0,895804510,tertiary,御門通り,True,,False,32.3196448828541,"LINESTRING (139.7623229 35.6671899, 139.7621434 35.6673048, 139.7620234 35.6673438)",,,,,,,1
31254315,31254313,0,895804509,tertiary,御門通り,True,,False,18.1520980829245,"LINESTRING (139.7624478 35.6670623, 139.7623944 35.6671236, 139.7623229 35.6671899)",,,,,,,1
31254325,1130958590,0,97685754,unclassified,花椿通り,True,,False,43.5381410282057,"LINESTRING (139.7622349 35.66851, 139.7622893 35.668473, 139.7626046 35.6682588)",,30,,,,,1
31254325,499185790,0,538982927,trunk,中央通り,True,15,False,133.64354555124,"LINESTRING (139.7622349 35.66851, 139.7621749 35.668454, 139.7613828 35.6677073, 139.7613463 35.6676729, 139.761266 35.6676018)",2,50,,,,,1
31254332,31254325,0,97685754,unclassified,花椿通り,True,,False,5.72081179784972,"LINESTRING (139.7621899 35.6685462, 139.7622349 35.66851)",,30,,,,,1
31254332,31254333,0,196380141,trunk,中央通り,True,15,False,129.2694342296,"LINESTRING (139.7621899 35.6685462, 139.7622501 35.6686056, 139.76301 35.6693513, 139.7630468 35.6693874, 139.7631036 35.6694409)",2,50,,,,,1
31254333,565362096,0,33847144,unclassified,交詢社通り,True,,False,46.8573174643292,"LINESTRING (139.7631036 35.6694409, 139.7630441 35.6694814, 139.7627092 35.6697146)",,,,,,,1
31254333,473462992,0,196380141,trunk,中央通り,True,15,False,130.009887999419,"LINESTRING (139.7631036 35.6694409, 139.7631579 35.6694884, 139.7639484 35.6702319, 139.7639818 35.6702633, 139.7640459 35.6703246)",2,50,,,,,1
