BPR 比較手法 近,BPR 提案手法 近
1.25,1.25
1.5,1.25
1.25,1.25
1.5,1.5
1.5,1.0
1.25,1.5
1.0,1.0
1.0,1.5
1.5,1.5
1.25,1.25
1.25,1.25
1.0,1.0
1.0,1.0
1.5,1.25
1.25,1.5
1.25,1.25
1.5,1.5
1.25,1.25
1.5,1.5
1.0,1.0
1.5,1.5
1.25,1.25
1.25,1.25
1.0,1.0
1.25,1.25
1.25,1.25
1.0,1.0
1.25,1.25
1.25,1.25
1.25,1.25
1.0,1.0
1.0,1.0
1.25,1.25
1.25,1.25
1.25,1.25
1.25,1.25
1.0,1.0
1.5,1.5
1.25,1.25
1.5,1.5
1.5,1.5
1.5,1.5
1.5,1.5
1.25,1.25
1.5,1.5
1.5,1.5
1.0,1.0
1.5,1.5
1.25,1.25
1.5,1.5
1.5,1.5
1.0,1.0
1.0,1.0
1.5,1.5
1.25,1.25
1.25,1.25
1.25,1.25
1.0,1.0
1.5,1.5
1.0,1.0
1.0,1.0
1.25,1.25
1.25,1.25
1.5,1.5
1.25,1.25
1.25,1.25
1.0,1.0
1.0,1.0
1.25,1.25
1.5,1.5
1.5,1.5
1.5,1.5
1.0,1.0
1.0,1.0
1.5,1.0
1.0,1.5
1.25,1.25
1.0,1.0
1.5,1.5
1.0,1.0
1.25,1.25
1.5,1.5
1.0,1.0
1.5,1.5
1.25,1.25
1.5,1.5
1.25,1.25
1.25,1.25
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.0,1.0
1.25,1.25
1.0,1.0
1.0,1.0
1.25,1.25
1.5,1.5
1.0,1.0
1.5,1.5
1.0,1.0
1.5,1.5
1.25,1.25
1.5,1.5
1.5,1.5
1.5,1.5
1.25,1.25
1.5,1.5
1.5,1.5
1.5,1.5
1.5,1.5
1.25,1.25
1.25,1.25
1.0,1.0
1.5,1.5
1.5,1.5
1.25,1.25
1.5,1.5
1.5,1.5
1.25,1.25
1.0,1.0
1.25,1.25
1.0,1.0
1.25,1.25
1.0,1.0
1.5,1.5
1.25,1.25
1.5,1.5
1.5,1.5
1.5,1.5
1.5,1.5
1.25,1.25
1.0,1.0
1.25,1.25
1.5,1.5
1.5,1.5
